,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,437.20001220703125,476.23,335.92,571.55,39.07,11.190171799514493
1,EVE.SW,1.0,hold,3.0,0.08789999783039093,0.28,0.28,0.28,-0.02,-4.3949998915195465
2,MBTN.SW,9.0,buy,2.4,0.6294999718666077,0.63,0.31,0.96,0.01,62.94999718666077
3,ASWN.SW,1.0,buy,2.0,2.130000114440918,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,2.9100000858306885,6.25,3.0,10.0,,
5,TKA.DE,12.0,hold,2.8,7.046000003814697,8.8,4.0,16.0,0.87,8.098850579097354
6,F3C.DE,5.0,buy,1.6,24.149999618530273,33.2,28.0,35.0,0.32,75.4687488079071
7,VOW3.DE,24.0,buy,2.2,128.3800048828125,186.5,115.0,320.0,29.04,4.420799066212552
8,NOVO-B.CO,27.0,buy,2.4,994.0,969.44,625.0,1200.0,35.51,27.992114897212055
9,ALJXR.PA,,none,,0.03590000048279762,,,,,
10,LIN,13.0,buy,1.9,334.9599914550781,341.16,280.86,372.13,13.22,25.337366978447662
11,NEL.OL,22.0,hold,3.0,17.649999618530273,14.92,7.0,25.0,-0.42,-42.02380861554827
12,BLDP,23.0,hold,2.9,6.210000038146973,8.24,4.0,19.0,-0.5,-12.420000076293945
13,UUUU,3.0,buy,2.0,7.235000133514404,10.33,8.5,13.0,0.06,120.58333555857341
14,SHOP,40.0,hold,2.6,49.02009963989258,43.99,28.0,81.43,0.06,817.0016606648763
15,ONON,12.0,buy,2.2,21.75,26.18,16.42,30.85,0.45,48.33333333333333
16,BE,21.0,buy,2.2,23.969999313354492,29.48,21.0,40.0,0.45,53.26666514078776
17,CLNE,10.0,buy,2.0,5.755000114440918,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,23.667999267578125,43.98,12.74,70.0,-0.03,-788.9333089192709
19,SQ,40.0,buy,2.1,77.45999908447266,90.19,51.0,150.0,1.72,45.034883188646894
20,EQNR,2.0,buy,2.0,32.73500061035156,41.6,36.2,47.0,6.14,5.331433324161493
21,FCEL,8.0,hold,3.3,3.5315001010894775,3.22,2.0,4.0,-0.23,-15.354348265606424
22,QS,9.0,hold,3.1,8.350000381469727,12.11,3.0,25.0,-0.86,-9.709302769150845
23,PCELL.ST,3.0,hold,3.0,151.9499969482422,151.67,135.0,170.0,-1.31,-115.99236408262762
24,PLUG,29.0,buy,2.1,15.749500274658203,27.34,13.0,78.0,-0.66,-23.86287920402758
25,SNPS,14.0,buy,1.7,361.6499938964844,416.99,356.9,467.0,11.83,30.57058274695557
26,CWR.L,13.0,buy,1.9,464.79998779296875,915.77,365.0,1560.0,-12.53,-37.094971092814745
